commit	full_hash	date	refs	family	subject	changed_file_count	change_statuses	changed_paths
729f75b	729f75b54225a5372e155896a8146bd1733a6980	2026-06-29T12:49:56-03:00	.	adversarial-roles-side-branches	Add guarded adversarial refinement notebook	5	M	notebooks/adversarial/frozen_opponent.ipynb;src/ant_byte_env/training/jax_mappo/adversarial/checkpointing.py;src/ant_byte_env/training/jax_mappo/adversarial/evaluation.py;src/ant_byte_env/training/jax_mappo/adversarial/rendering.py;tests/test_jax_adversarial_mappo.py
f75f7c8	f75f7c8068f1beb66cd26907668088bef33d743d	2026-06-29T18:20:32-03:00	.	adversarial-roles-side-branches	lethal cookies	23	M	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50.json;experiments/exploration_to_forage_proximity_sources_50x50.json;src/ant_byte_env/curricula/stages.py;src/ant_byte_env/env.py;src/ant_byte_env/jax_env.py;src/ant_byte_env/notebook_workflows.py;src/ant_byte_env/rendering.py;src/ant_byte_env/training/jax_mappo/__init__.py;src/ant_byte_env/training/jax_mappo/cli.py;src/ant_byte_env/training/jax_mappo/core.py;src/ant_byte_env/training/jax_mappo/curriculum.py;src/ant_byte_env/training/jax_mappo/evaluation.py;src/ant_byte_env/training/jax_mappo/probe.py;src/ant_byte_env/training/jax_mappo/rollout.py;src/ant_byte_env/training/jax_mappo/runner.py;src/ant_byte_env/training/jax_mappo/transfer.py;src/ant_byte_env/workflows/args.py;src/ant_byte_env/workflows/rollouts.py;tests/test_jax_env.py;tests/test_notebook_workflows.py;tests/test_render.py;tests/test_train_mappo_jax.py;tests/test_workflow_rollouts.py
a6ba235	a6ba23530c5c618220e95ae8f451aabb6b21b957	2026-07-01T11:36:13-03:00	origin/main, origin/HEAD	critic-full-layout-50x50	feat: add 8-bit shared-write continuation	16	A;M	experiments/exploration_to_forage_full_layout_8ants_half_food_50x50_shared_writes_write_cost_8bits.json;notebooks/README.md;notebooks/scaling/full_layout_8ants_half_food_shared_writes_write_cost_8bits_50x50.ipynb;scripts/render_jax_channel_grid_video.py;src/ant_byte_env/autocurriculum_env.py;src/ant_byte_env/cli.py;src/ant_byte_env/env.py;src/ant_byte_env/notebook_workflows.py;src/ant_byte_env/rendering.py;src/ant_byte_env/workflows/rollouts.py;src/ant_byte_env/workflows/training.py;tests/test_notebook_layout.py;tests/test_render.py;tests/test_workflow_experiments.py;tests/test_workflow_rollouts.py;tests/test_workflow_training.py
58ea666	58ea66654aad7fb0cabdadfc40e4690e38ead1df	2026-07-01T11:47:24-03:00	origin/lethal_cookies	hundred-bridge-maze-stress	modified:   experiments/exploration_to_forage_proximity_sources_50x50.json  new file:   notebooks/source_layouts/proximity_sources_50x50 cookie radius.ipynb  new file:   notebooks/source_layouts/proximity_sources_50x50 maze.ipynb  deleted:    notebooks/source_layouts/proximity_sources_50x50.ipynb  modified:   src/ant_byte_env/training/jax_mappo/transfer.py  modified:   tests/test_train_mappo_jax.py	6	A;D;M	experiments/exploration_to_forage_proximity_sources_50x50.json;notebooks/source_layouts/proximity_sources_50x50 cookie radius.ipynb;notebooks/source_layouts/proximity_sources_50x50 maze.ipynb;notebooks/source_layouts/proximity_sources_50x50.ipynb;src/ant_byte_env/training/jax_mappo/transfer.py;tests/test_train_mappo_jax.py
80b902d	80b902d97ba8a8a453d1fe2345b48487bf3136c5	2026-07-02T15:38:05-03:00	.	sixty-ant-50x50-stabilization	feat: add memory-safe cleanup eval loop	8	A;M	experiments/exploration_to_forage_full_layout_60ants_half_food_50x50_shared_writes_write_cost_8bits_stabilize_from_60best.json;scripts/run_cleanup_temperature_schedule_loop.py;scripts/run_deployment_action_sweep.py;scripts/run_overnight_efficiency_sweep.py;scripts/run_temperature_robustness_loop.py;src/ant_byte_env/training/jax_mappo/evaluation.py;tests/test_train_mappo_jax.py;tests/test_workflow_experiments.py
1e3f96c	1e3f96c0aff1b0207d69f877a4991fb722d2504e	2026-07-02T16:21:00-03:00	.	infra-tests-ci-cleanup	chore: increase cleanup loop video cadence	1	M	scripts/run_cleanup_temperature_schedule_loop.py
b3f8879	b3f88797daa95bbff6086494642c4c468fe9ab1c	2026-07-02T16:41:03-03:00	.	infra-tests-ci-cleanup	chore: focus cleanup schedule sweep	1	M	scripts/run_cleanup_temperature_schedule_loop.py
9d1e147	9d1e147f9b7ea644ec8f6732314d7e0bfe8d763a	2026-07-02T17:27:37-03:00	.	adversarial-roles-side-branches	Record adversarial eval diagnostics and role renders	5	M	notebooks/adversarial/capability_audit.ipynb;notebooks/adversarial/frozen_opponent.ipynb;src/ant_byte_env/training/jax_mappo/adversarial/evaluation.py;src/ant_byte_env/training/jax_mappo/adversarial/rendering.py;tests/test_jax_adversarial_mappo.py
46aa332	46aa33237d2851e260c89ce2a00c58228f326a2f	2026-07-02T18:00:20-03:00	.	adversarial-roles-side-branches	Add timed-release cooperative roles experiment	17	A;M	experiments/timed_release_roles_8ants_shared_writes.json;notebooks/timed_release/roles.ipynb;src/ant_byte_env/cli.py;src/ant_byte_env/training/jax_mappo/rollout.py;src/ant_byte_env/training/jax_mappo/timed_release/__init__.py;src/ant_byte_env/training/jax_mappo/timed_release/cli.py;src/ant_byte_env/training/jax_mappo/timed_release/env.py;src/ant_byte_env/training/jax_mappo/timed_release/evaluation.py;src/ant_byte_env/training/jax_mappo/timed_release/rendering.py;src/ant_byte_env/training/jax_mappo/timed_release/rollout.py;src/ant_byte_env/training/jax_mappo/timed_release/runner.py;src/ant_byte_env/training/jax_mappo/timed_release/types.py;src/ant_byte_env/training/jax_mappo/types.py;src/ant_byte_env/training/jax_mappo/updates.py;tests/test_jax_timed_release_mappo.py;tests/test_notebook_layout.py;tests/test_train_mappo_jax.py
4aad30d	4aad30da3a4f984b6ec0993fd1a46e158adc686c	2026-07-02T18:03:10-03:00	origin/research/adversarial-marl-experiments	adversarial-roles-side-branches	Document adversarial frozen-opponent experiments	1	A	docs/adversarial_frozen_opponent_story.md
